CAS,0-200 Points,0-200 Peaks,0-200 AUC,200-300 Points,200-300 Peaks,200-300 AUC,300-400 Points,300-400 Peaks,300-400 AUC,400-500 Points,400-500 Peaks,400-500 AUC,500-600 Points,500-600 Peaks,500-600 AUC,600-700 Points,600-700 Peaks,600-700 AUC,700-800 Points,700-800 Peaks,700-800 AUC,800-900 Points,800-900 Peaks,800-900 AUC,900-1000 Points,900-1000 Peaks,900-1000 AUC,1000-1100 Points,1000-1100 Peaks,1000-1100 AUC,1100-1200 Points,1100-1200 Peaks,1100-1200 AUC,1200-1300 Points,1200-1300 Peaks,1200-1300 AUC,1300-1400 Points,1300-1400 Peaks,1300-1400 AUC,1400-1500 Points,1400-1500 Peaks,1400-1500 AUC,1500-1600 Points,1500-1600 Peaks,1500-1600 AUC,1600-1700 Points,1600-1700 Peaks,1600-1700 AUC,1700-1800 Points,1700-1800 Peaks,1700-1800 AUC,1800-1900 Points,1800-1900 Peaks,1800-1900 AUC,1900-2000 Points,1900-2000 Peaks,1900-2000 AUC,2000-2100 Points,2000-2100 Peaks,2000-2100 AUC,2100-2200 Points,2100-2200 Peaks,2100-2200 AUC,2200-2300 Points,2200-2300 Peaks,2200-2300 AUC,2300-2400 Points,2300-2400 Peaks,2300-2400 AUC,2400-2500 Points,2400-2500 Peaks,2400-2500 AUC,2500-2600 Points,2500-2600 Peaks,2500-2600 AUC,2600-2700 Points,2600-2700 Peaks,2600-2700 AUC,2700-2800 Points,2700-2800 Peaks,2700-2800 AUC,2800-2900 Points,2800-2900 Peaks,2800-2900 AUC,2900-3000 Points,2900-3000 Peaks,2900-3000 AUC,3000-3100 Points,3000-3100 Peaks,3000-3100 AUC,3100-3200 Points,3100-3200 Peaks,3100-3200 AUC,3200-3300 Points,3200-3300 Peaks,3200-3300 AUC,3300-3400 Points,3300-3400 Peaks,3300-3400 AUC,3400-3500 Points,3400-3500 Peaks,3400-3500 AUC,3500-3600 Points,3500-3600 Peaks,3500-3600 AUC,3600-3700 Points,3600-3700 Peaks,3600-3700 AUC,3700-3800 Points,3700-3800 Peaks,3700-3800 AUC,3800-3900 Points,3800-3900 Peaks,3800-3900 AUC,3900-4000 Points,3900-4000 Peaks,3900-4000 AUC,4000-4100 Points,4000-4100 Peaks,4000-4100 AUC,4100-4200 Points,4100-4200 Peaks,4100-4200 AUC,4200-4300 Points,4200-4300 Peaks,4200-4300 AUC,4300-4400 Points,4300-4400 Peaks,4300-4400 AUC,4400-4500 Points,4400-4500 Peaks,4400-4500 AUC,4500-4600 Points,4500-4600 Peaks,4500-4600 AUC,4600-4700 Points,4600-4700 Peaks,4600-4700 AUC,4700-4800 Points,4700-4800 Peaks,4700-4800 AUC,4800-4900 Points,4800-4900 Peaks,4800-4900 AUC,4900-5000 Points,4900-5000 Peaks,4900-5000 AUC,5000-5100 Points,5000-5100 Peaks,5000-5100 AUC
C2307100,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,140,5.0,55.87755504280777,144,11.0,78.27607350980884,143,13.0,76.17883256457401,144,4.0,60.02634370966936,144,9.0,64.8135695838657,143,3.0,40.089597993280414,144,17.0,75.97334777106288,144,6.0,62.41088383564046,143,6.0,51.872593863646934,144,5.0,53.835362146477706,144,7.0,53.1283533257107,143,2.0,55.77826145626427,144,17.0,81.49061328662987,143,14.0,81.634439204345,144,6.0,81.81456303118387,144,9.0,83.1817450738938,143,0.0,82.50865052866929,144,8.0,82.19763800471631,144,2.0,83.36318916521577,143,2.0,82.99398970607473,144,2.0,82.303784445605,144,2.0,81.58478620396316,143,2.0,64.27709775194904,144,2.0,33.40480727912292,144,0.0,76.04506864626863,143,4.0,80.58104905606945,144,7.0,81.86227604924497,143,1.0,78.34608088915303,144,5.0,81.19493008070083,144,3.0,81.10056994510477,143,3.0,81.29407585159586,144,5.0,81.59688055232934,144,0.0,81.42993619447975,139,0.0,77.71973734128883,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C2243983,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,1.0,47.98286404300546,25,1.0,94.80487207320827,25,2.0,95.99958739264328,25,5.0,96.08500869250207,25,6.0,96.07178899040699,25,4.0,96.06162477063481,25,5.0,96.06843310182546,25,1.0,95.65362705785407,25,2.0,95.80535623083827,25,1.0,95.61312567348628,25,3.0,96.05855153432157,25,6.0,96.08886283608314,25,4.0,96.09999197541744,25,4.0,96.09532011983018,25,5.0,96.10025034562673,25,3.0,96.07662773406352,25,3.0,96.01627707452934,25,7.0,96.09569415918936,25,6.0,96.09240660493407,25,4.0,96.0940520349591,25,4.0,96.0813231137605,25,3.0,96.02092653703836,25,1.0,95.95257876060433,25,1.0,94.07046241463017,25,1.0,90.54782602355867,25,0.0,95.86054987428156,25,5.0,96.04444178746743,25,2.0,95.9908359910842,25,1.0,95.50060288990824,25,6.0,96.0935572533694,25,5.0,96.09355887968604,25,5.0,96.08432804081843,25,4.0,96.08064081194954,12,3.0,44.03143983119763,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C1605181,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,1.0,47.885893970154584,25,3.0,95.9674001235316,25,3.0,95.95059323582547,25,2.0,94.70474117820973,25,0.0,95.62731051311437,25,2.0,95.8772410264537,25,2.0,95.86165755034685,25,1.0,95.82528390458091,25,1.0,95.45803498062548,25,2.0,95.36699055481532,25,3.0,95.60852748270197,25,1.0,95.41978758225395,25,3.0,95.85798596482059,25,2.0,95.93687296719973,25,3.0,95.99401384638767,25,5.0,96.01889656867671,25,6.0,96.01305117940248,25,4.0,96.01032952763603,25,4.0,96.00540430810108,25,4.0,96.00778994668507,25,6.0,96.0151788098473,25,5.0,96.0090916929126,25,4.0,95.97157789056479,25,0.0,95.6974095075715,25,2.0,94.48218249429394,25,2.0,94.69261423315753,25,1.0,95.82372089056109,25,6.0,95.99736979067859,25,7.0,96.00904320567571,25,5.0,96.00870801609412,25,5.0,96.00154742952475,25,5.0,95.99689941551554,25,5.0,96.00422662931888,12,2.0,43.99862362698874,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C16958853,0,0,0,0,0.0,0.0,0,0.0,0.0,13,4.0,47.76016781085902,25,7.0,96.04211150794961,25,7.0,96.03835443073946,25,6.0,94.0358210328238,25,6.0,95.16096116883398,25,1.0,92.98552089102218,25,1.0,87.9852483083913,25,2.0,75.32199073880062,25,1.0,79.5371707341021,25,2.0,86.92297510100978,25,1.0,86.64109716162179,25,4.0,96.42606757970145,25,2.0,94.68142179890815,25,1.0,77.7076328638437,25,3.0,95.89944033442124,25,9.0,96.28699549138474,25,5.0,96.33909236449988,25,7.0,96.55418072145187,25,4.0,96.50795842125383,25,7.0,95.97978748762463,25,5.0,96.21277265957909,25,3.0,95.55277795526949,25,1.0,93.88190896981676,25,0.0,91.71707778661096,25,1.0,64.57153025421536,25,1.0,47.85337605269898,25,0.0,93.57236500048243,25,9.0,96.0569168339791,25,5.0,96.47694991993812,25,6.0,96.48670475341899,25,7.0,96.32998548691714,25,8.0,96.45912201284568,25,7.0,96.2855395007265,25,8.0,96.27565426759278,25,7.0,96.22480344524543,17,4.0,64.05261513570755,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C1486517,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,2.0,45.88761672335154,26,1.0,95.7560881841423,26,2.0,95.5282544723698,26,2.0,95.99815029197973,26,2.0,95.99437706201445,26,2.0,94.53324937387595,26,2.0,94.21399721783024,25,1.0,90.07482436756183,26,2.0,94.97603157623817,26,2.0,95.91357844664286,26,1.0,95.33942615607005,26,1.0,95.5531366612925,26,1.0,94.04598140185415,26,2.0,96.2341743663406,26,5.0,96.28677631246293,26,3.0,96.35546607977226,26,1.0,96.39746020286707,26,6.0,96.40748983993049,26,6.0,96.39412730854092,26,6.0,96.37968205039412,25,7.0,92.52494798128967,26,4.0,96.40878490858711,26,5.0,96.39337424197008,26,2.0,96.28405871966443,26,2.0,96.19452340792672,26,2.0,95.97961032103377,26,3.0,96.34496677139137,26,8.0,96.4072410388474,26,6.0,96.40145394836811,26,5.0,96.38360785949213,26,2.0,95.87936922767003,26,4.0,96.3700314139048,25,8.0,92.53971713545977,26,5.0,96.40268083959455,26,6.0,96.39925561716835,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C3582716,0,0,0,98,7.0,64.95247491429606,109,1.0,56.82525068970249,108,1.0,80.39286914273055,108,2.0,83.11891612501128,108,4.0,80.85518294114486,109,0.0,73.01965453157192,108,4.0,53.992870086611866,108,2.0,83.2777486390022,109,5.0,29.312849022265727,108,6.0,72.07171904082615,108,1.0,72.3052565764072,109,2.0,79.43434862714747,108,10.0,78.40058116223128,108,8.0,82.88342383672219,109,12.0,85.41777501465042,108,16.0,86.19477397695667,108,6.0,86.93153285776498,108,23.0,86.36946796884686,109,7.0,89.00652460040918,108,6.0,89.14094833063155,108,7.0,89.71522173286158,109,5.0,91.12102616385049,108,1.0,90.05164813383172,108,1.0,90.27403265678745,109,1.0,90.82897965169222,108,2.0,89.26799431009353,108,0.0,87.2719148683407,109,2.0,74.42880835588554,108,2.0,88.89748181704817,108,8.0,90.32014555792296,109,3.0,92.06655830486406,108,2.0,91.34407171638266,108,0.0,91.48185934798214,108,1.0,91.3080104107498,109,2.0,91.34804340751137,105,8.0,87.09828411170494,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C54179101,0,0,0,0,0.0,0.0,0,0.0,0.0,43,1.0,27.276004737106184,100,5.0,63.14694497084996,101,4.0,65.03982590924805,99,3.0,53.901459390208814,100,3.0,71.69466825106505,100,2.0,77.22083956937729,100,5.0,65.00684233618236,101,2.0,59.18013126765266,99,5.0,51.3644186286421,100,1.0,63.465024445552636,100,6.0,58.57213840195771,100,5.0,52.00906240559077,101,4.0,68.9838332529628,99,4.0,80.99837844911603,100,13.0,83.10182925001565,100,9.0,83.51985270243249,100,2.0,85.22781280439591,101,21.0,86.2159320873525,99,11.0,83.726392071431,100,8.0,84.50199677839491,101,4.0,84.8318600371633,99,8.0,83.10786829402318,101,9.0,83.10164927934863,99,3.0,80.2781749700567,100,2.0,77.63116605533665,101,6.0,74.65441458906815,99,2.0,75.79424996221988,101,1.0,74.38042844752506,99,5.0,55.98259225728807,100,3.0,52.68223560496297,100,6.0,68.40795549733294,100,9.0,76.99721549431389,101,17.0,76.98715862161434,99,12.0,74.396192277399,15,0.0,10.538883207657715,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C23996250,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,3.0,48.079310221974104,52,3.0,97.46703266193151,52,6.0,97.23939914468515,52,6.0,98.14542579260178,52,4.0,97.86748389187211,52,2.0,97.0859228003266,51,3.0,95.30881630624792,52,2.0,96.47322290517508,52,2.0,94.26831462044238,52,1.0,92.31880663614571,52,2.0,96.52481283806885,52,8.0,98.23002303607328,51,13.0,96.40023345313645,52,11.0,98.36153976970125,52,12.0,98.33733127087555,52,9.0,98.34862935021678,52,13.0,98.33052274678846,52,6.0,98.26526946419398,51,10.0,96.31958098727513,52,12.0,98.24243369623247,52,14.0,98.26153714038598,52,12.0,98.23403198336291,52,6.0,98.0431786857787,52,0.0,96.31451010525181,51,2.0,89.48845827289213,52,3.0,97.27444237881546,52,9.0,98.22222717287397,52,11.0,98.39832859213881,52,11.0,98.4497574988874,52,12.0,98.4460326401834,51,13.0,96.50303051610577,52,12.0,98.43010415652304,52,10.0,98.40928962200371,52,12.0,98.39594356094213,52,13.0,98.35318798167748,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C35958306,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,6.0,49.7654867329601,51,6.0,95.40695222543448,52,5.0,96.85531813855214,52,3.0,96.59296991014936,52,6.0,97.54405779201797,52,5.0,97.84457101836098,52,3.0,91.89365089128093,51,3.0,86.65774024840394,52,2.0,92.32322510303474,52,3.0,86.20052307941322,52,2.0,97.70775316504773,52,8.0,98.41841397679667,52,3.0,98.28466163246667,51,10.0,96.76483725903788,52,10.0,98.71350110438989,52,9.0,98.76936125362496,52,12.0,98.78922967612627,52,10.0,98.75135687008259,52,9.0,98.62524559112462,52,13.0,98.55083654347698,51,11.0,96.60075257013409,52,9.0,98.4028643102599,52,6.0,98.00418786623011,52,1.0,90.87118952310635,52,2.0,70.02338533788148,52,6.0,96.23459905463153,51,6.0,95.87355787591258,52,9.0,98.15732911498712,52,12.0,98.30231706470906,52,1.0,95.37136144812953,52,1.0,87.20715285690743,52,3.0,95.8841032218012,51,8.0,96.62694285650761,52,12.0,98.58567842623427,52,13.0,98.56620532865632,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
C21510430,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,5.0,50.096543285309885,51,6.0,95.0647022088183,52,4.0,96.0876990609472,52,8.0,97.06570552688568,52,4.0,97.4927786208017,52,5.0,92.88745502151097,52,4.0,97.75578363958022,51,7.0,95.42899963334914,52,3.0,97.82592067662543,52,5.0,93.38181258990046,52,2.0,96.06341342435698,52,5.0,97.29429200037997,52,9.0,98.18620358126775,51,10.0,96.25995217440784,52,9.0,98.11237221879956,52,14.0,98.32869314106654,52,11.0,98.37838141020136,52,11.0,98.34974499571088,52,13.0,98.34059721245065,52,13.0,98.3567361422215,51,10.0,96.35000802924323,52,12.0,98.27554268792137,52,12.0,98.37736213978593,52,10.0,98.34712074668413,52,12.0,98.29355299511965,52,4.0,97.14621083667184,51,8.0,96.27967551596262,52,11.0,98.42601959017196,52,11.0,98.43152296878894,52,11.0,98.42310227661245,52,12.0,98.44162909110797,52,11.0,98.41408830971308,51,12.0,96.48122162059444,52,12.0,98.43000459122872,52,11.0,98.43258405983076,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
